Error léxico: carácter no reconocido '$' en línea 57
Error léxico: carácter no reconocido '#' en línea 73
Usuario: Fernando | Archivo: test2.rs
=== ANÁLISIS LÉXICO ===
Línea 5: FUNCION -> fn
Línea 5: IDENTIFICADOR -> main
Línea 5: PAREN_IZQ -> (
Línea 5: PAREN_DER -> )
Línea 5: LLAVE_IZQ -> {
Línea 7: VARIABLE -> let
Línea 7: MUTABLE -> mut
Línea 7: IDENTIFICADOR -> a
Línea 7: DOSPUNTOS -> :
Línea 7: I32 -> i32
Línea 7: IGUAL -> =
Línea 7: ENTERO -> 5
Línea 7: PUNTOCOMA -> ;
Línea 8: VARIABLE -> let
Línea 8: MUTABLE -> mut
Línea 8: IDENTIFICADOR -> b
Línea 8: DOSPUNTOS -> :
Línea 8: I32 -> i32
Línea 8: IGUAL -> =
Línea 8: ENTERO -> 12
Línea 8: PUNTOCOMA -> ;
Línea 9: VARIABLE -> let
Línea 9: MUTABLE -> mut
Línea 9: IDENTIFICADOR -> suma
Línea 9: DOSPUNTOS -> :
Línea 9: I32 -> i32
Línea 9: IGUAL -> =
Línea 9: ENTERO -> 0
Línea 9: PUNTOCOMA -> ;
Línea 10: VARIABLE -> let
Línea 10: IDENTIFICADOR -> limite
Línea 10: DOSPUNTOS -> :
Línea 10: I32 -> i32
Línea 10: IGUAL -> =
Línea 10: ENTERO -> 8
Línea 10: PUNTOCOMA -> ;
Línea 11: VARIABLE -> let
Línea 11: IDENTIFICADOR -> activo
Línea 11: DOSPUNTOS -> :
Línea 11: BOOLEANO_TIPO -> bool
Línea 11: IGUAL -> =
Línea 11: VERDAD -> true
Línea 11: PUNTOCOMA -> ;
Línea 14: IDENTIFICADOR -> suma
Línea 14: IGUAL -> =
Línea 14: IDENTIFICADOR -> a
Línea 14: SUMA -> +
Línea 14: IDENTIFICADOR -> b
Línea 14: PUNTOCOMA -> ;
Línea 15: IDENTIFICADOR -> b
Línea 15: IGUAL -> =
Línea 15: IDENTIFICADOR -> b
Línea 15: RESTA -> -
Línea 15: ENTERO -> 3
Línea 15: PUNTOCOMA -> ;
Línea 16: IDENTIFICADOR -> a
Línea 16: IGUAL -> =
Línea 16: IDENTIFICADOR -> a
Línea 16: MULT -> *
Línea 16: ENTERO -> 2
Línea 16: PUNTOCOMA -> ;
Línea 19: POR -> for
Línea 19: IDENTIFICADOR -> i
Línea 19: EN -> in
Línea 19: ENTERO -> 0
Línea 19: RANGO -> ..
Línea 19: IDENTIFICADOR -> limite
Línea 19: LLAVE_IZQ -> {
Línea 20: IDENTIFICADOR -> suma
Línea 20: IGUAL -> =
Línea 20: IDENTIFICADOR -> suma
Línea 20: SUMA -> +
Línea 20: IDENTIFICADOR -> i
Línea 20: PUNTOCOMA -> ;
Línea 21: LLAVE_DER -> }
Línea 24: SI -> if
Línea 24: IDENTIFICADOR -> suma
Línea 24: MAYOR -> >
Línea 24: ENTERO -> 20
Línea 24: LLAVE_IZQ -> {
Línea 25: IMPRIMIRLN -> println!
Línea 25: PAREN_IZQ -> (
Línea 25: CADENA -> "Suma mayor a 20"
Línea 25: PAREN_DER -> )
Línea 25: PUNTOCOMA -> ;
Línea 26: LLAVE_DER -> }
Línea 26: SINO -> else
Línea 26: SI -> if
Línea 26: IDENTIFICADOR -> suma
Línea 26: IGUALDOBLE -> ==
Línea 26: ENTERO -> 20
Línea 26: LLAVE_IZQ -> {
Línea 27: IMPRIMIRLN -> println!
Línea 27: PAREN_IZQ -> (
Línea 27: CADENA -> "Suma igual a 20"
Línea 27: PAREN_DER -> )
Línea 27: PUNTOCOMA -> ;
Línea 28: LLAVE_DER -> }
Línea 28: SINO -> else
Línea 28: LLAVE_IZQ -> {
Línea 29: IMPRIMIRLN -> println!
Línea 29: PAREN_IZQ -> (
Línea 29: CADENA -> "Suma menor a 20"
Línea 29: PAREN_DER -> )
Línea 29: PUNTOCOMA -> ;
Línea 30: LLAVE_DER -> }
Línea 33: VARIABLE -> let
Línea 33: MUTABLE -> mut
Línea 33: IDENTIFICADOR -> contador
Línea 33: DOSPUNTOS -> :
Línea 33: I32 -> i32
Línea 33: IGUAL -> =
Línea 33: ENTERO -> 4
Línea 33: PUNTOCOMA -> ;
Línea 34: LAZO -> loop
Línea 34: LLAVE_IZQ -> {
Línea 35: IDENTIFICADOR -> suma
Línea 35: IGUAL -> =
Línea 35: IDENTIFICADOR -> suma
Línea 35: SUMA -> +
Línea 35: IDENTIFICADOR -> contador
Línea 35: PUNTOCOMA -> ;
Línea 36: IDENTIFICADOR -> contador
Línea 36: IGUAL -> =
Línea 36: IDENTIFICADOR -> contador
Línea 36: RESTA -> -
Línea 36: ENTERO -> 1
Línea 36: PUNTOCOMA -> ;
Línea 37: SI -> if
Línea 37: IDENTIFICADOR -> contador
Línea 37: IGUALDOBLE -> ==
Línea 37: ENTERO -> 0
Línea 37: LLAVE_IZQ -> {
Línea 38: QUIEBRE -> break
Línea 38: PUNTOCOMA -> ;
Línea 39: LLAVE_DER -> }
Línea 40: LLAVE_DER -> }
Línea 43: VARIABLE -> let
Línea 43: IDENTIFICADOR -> suma
Línea 43: DOSPUNTOS -> :
Línea 43: I32 -> i32
Línea 43: IGUAL -> =
Línea 43: IDENTIFICADOR -> suma
Línea 43: SUMA -> +
Línea 43: ENTERO -> 10
Línea 43: PUNTOCOMA -> ;
Línea 46: VARIABLE -> let
Línea 46: IDENTIFICADOR -> resultado
Línea 46: DOSPUNTOS -> :
Línea 46: I32 -> i32
Línea 46: IGUAL -> =
Línea 46: PAREN_IZQ -> (
Línea 46: IDENTIFICADOR -> a
Línea 46: SUMA -> +
Línea 46: IDENTIFICADOR -> b
Línea 46: PAREN_DER -> )
Línea 46: MULT -> *
Línea 46: ENTERO -> 2
Línea 46: RESTA -> -
Línea 46: IDENTIFICADOR -> suma
Línea 46: DIV -> /
Línea 46: ENTERO -> 3
Línea 46: PUNTOCOMA -> ;
Línea 49: IMPRIMIRLN -> println!
Línea 49: PAREN_IZQ -> (
Línea 49: CADENA -> "Resultado final: {}"
Línea 49: COMA -> ,
Línea 49: IDENTIFICADOR -> resultado
Línea 49: PAREN_DER -> )
Línea 49: PUNTOCOMA -> ;
Línea 57: VARIABLE -> let
Línea 57: IDENTIFICADOR -> dinero
Error léxico: carácter no reconocido '$' en línea 57
Línea 57: IGUAL -> =
Línea 57: ENTERO -> 500
Línea 57: PUNTOCOMA -> ;
Línea 60: VARIABLE -> let
Línea 60: IDENTIFICADOR -> x
Línea 60: DOSPUNTOS -> :
Línea 60: I32 -> i32
Línea 60: ENTERO -> 10
Línea 60: PUNTOCOMA -> ;
Línea 63: VARIABLE -> let
Línea 63: IDENTIFICADOR -> bandera
Línea 63: DOSPUNTOS -> :
Línea 63: BOOLEANO_TIPO -> bool
Línea 63: IGUAL -> =
Línea 63: ENTERO -> 5
Línea 63: PUNTOCOMA -> ;
Línea 66: VARIABLE -> let
Línea 66: IDENTIFICADOR -> mezclar
Línea 66: DOSPUNTOS -> :
Línea 66: I32 -> i32
Línea 66: IGUAL -> =
Línea 66: IDENTIFICADOR -> activo
Línea 66: SUMA -> +
Línea 66: ENTERO -> 3
Línea 66: PUNTOCOMA -> ;
Línea 73: VARIABLE -> let
Línea 73: IDENTIFICADOR -> valor
Error léxico: carácter no reconocido '#' en línea 73
Línea 73: IGUAL -> =
Línea 73: ENTERO -> 10
Línea 73: PUNTOCOMA -> ;
Línea 76: VARIABLE -> let
Línea 76: IDENTIFICADOR -> raro
Línea 76: DOSPUNTOS -> :
Línea 76: I32 -> i32
Línea 76: IGUAL -> =
Línea 76: ENTERO -> 12
Línea 76: IDENTIFICADOR -> a3
Línea 76: PUNTOCOMA -> ;
Línea 79: VARIABLE -> let
Línea 79: IDENTIFICADOR -> p
Línea 79: DOSPUNTOS -> :
Línea 79: I32 -> i32
Línea 79: IGUAL -> =
Línea 79: ENTERO -> 9
Línea 82: SI -> if
Línea 82: IDENTIFICADOR -> a
Línea 82: MAYOR -> >
Línea 82: ENTERO -> 3
Línea 82: LLAVE_IZQ -> {
Línea 82: LLAVE_IZQ -> {
Línea 83: IMPRIMIRLN -> println!
Línea 83: PAREN_IZQ -> (
Línea 83: CADENA -> "error"
Línea 83: PAREN_DER -> )
Línea 83: PUNTOCOMA -> ;
Línea 84: LLAVE_DER -> }
Línea 87: VARIABLE -> let
Línea 87: IDENTIFICADOR -> s
Línea 87: DOSPUNTOS -> :
Línea 87: I32 -> i32
Línea 87: IGUAL -> =
Línea 87: SUMA -> +
Línea 87: ENTERO -> 5
Línea 87: PUNTOCOMA -> ;
Línea 90: VARIABLE -> let
Línea 90: IDENTIFICADOR -> bandera2
Línea 90: DOSPUNTOS -> :
Línea 90: BOOLEANO_TIPO -> bool
Línea 90: IGUAL -> =
Línea 90: IDENTIFICADOR -> a
Línea 90: SUMA -> +
Línea 90: IDENTIFICADOR -> b
Línea 90: PUNTOCOMA -> ;
Línea 93: VARIABLE -> let
Línea 93: IDENTIFICADOR -> h
Línea 93: DOSPUNTOS -> :
Línea 93: I32 -> i32
Línea 93: IGUAL -> =
Línea 93: IDENTIFICADOR -> variable_que_no_existe
Línea 93: SUMA -> +
Línea 93: ENTERO -> 1
Línea 93: PUNTOCOMA -> ;
Línea 96: VARIABLE -> let
Línea 96: IDENTIFICADOR -> t
Línea 96: DOSPUNTOS -> :
Línea 96: I32 -> i32
Línea 96: IGUAL -> =
Línea 96: ENTERO -> 5
Línea 96: PUNTOCOMA -> ;
Línea 97: IDENTIFICADOR -> t
Línea 97: IGUAL -> =
Línea 97: FALSO -> false
Línea 97: PUNTOCOMA -> ;
Línea 98: LLAVE_DER -> }


--- Errores Sintácticos (durante semántico) ---
  (ninguno)
--- Errores Léxicos (durante semántico) ---
  (ninguno)

Análisis semántico completado.

Error léxico: carácter no reconocido '$' en línea 57
Error léxico: carácter no reconocido '#' en línea 73
