Error léxico: carácter no reconocido '$' en línea 76
Error léxico: carácter no reconocido '#' en línea 77
Error léxico: carácter no reconocido '@' en línea 78
Error léxico: carácter no reconocido '°' en línea 79
Usuario: Fernando | Archivo: test1.rs
=== ANÁLISIS LÉXICO ===
Línea 5: FUNCION -> fn
Línea 5: IDENTIFICADOR -> main
Línea 5: PAREN_IZQ -> (
Línea 5: PAREN_DER -> )
Línea 5: LLAVE_IZQ -> {
Línea 7: VARIABLE -> let
Línea 7: MUTABLE -> mut
Línea 7: IDENTIFICADOR -> a
Línea 7: DOSPUNTOS -> :
Línea 7: I32 -> i32
Línea 7: IGUAL -> =
Línea 7: ENTERO -> 10
Línea 7: PUNTOCOMA -> ;
Línea 8: VARIABLE -> let
Línea 8: MUTABLE -> mut
Línea 8: IDENTIFICADOR -> b
Línea 8: DOSPUNTOS -> :
Línea 8: I32 -> i32
Línea 8: IGUAL -> =
Línea 8: ENTERO -> 4
Línea 8: PUNTOCOMA -> ;
Línea 9: VARIABLE -> let
Línea 9: IDENTIFICADOR -> activo
Línea 9: DOSPUNTOS -> :
Línea 9: BOOLEANO_TIPO -> bool
Línea 9: IGUAL -> =
Línea 9: VERDAD -> true
Línea 9: PUNTOCOMA -> ;
Línea 11: VARIABLE -> let
Línea 11: IDENTIFICADOR -> lista
Línea 11: DOSPUNTOS -> :
Línea 11: CORCHETE_IZQ -> [
Línea 11: I32 -> i32
Línea 11: PUNTOCOMA -> ;
Línea 11: ENTERO -> 5
Línea 11: CORCHETE_DER -> ]
Línea 11: IGUAL -> =
Línea 11: CORCHETE_IZQ -> [
Línea 11: ENTERO -> 3
Línea 11: COMA -> ,
Línea 11: ENTERO -> 6
Línea 11: COMA -> ,
Línea 11: ENTERO -> 1
Línea 11: COMA -> ,
Línea 11: ENTERO -> 8
Línea 11: COMA -> ,
Línea 11: ENTERO -> 2
Línea 11: CORCHETE_DER -> ]
Línea 11: PUNTOCOMA -> ;
Línea 13: VARIABLE -> let
Línea 13: MUTABLE -> mut
Línea 13: IDENTIFICADOR -> acc
Línea 13: DOSPUNTOS -> :
Línea 13: I32 -> i32
Línea 13: IGUAL -> =
Línea 13: ENTERO -> 0
Línea 13: PUNTOCOMA -> ;
Línea 16: POR -> for
Línea 16: IDENTIFICADOR -> i
Línea 16: EN -> in
Línea 16: ENTERO -> 0
Línea 16: RANGO -> ..
Línea 16: ENTERO -> 5
Línea 16: LLAVE_IZQ -> {
Línea 17: IDENTIFICADOR -> acc
Línea 17: IGUAL -> =
Línea 17: IDENTIFICADOR -> acc
Línea 17: SUMA -> +
Línea 17: IDENTIFICADOR -> lista
Línea 17: CORCHETE_IZQ -> [
Línea 17: IDENTIFICADOR -> i
Línea 17: CORCHETE_DER -> ]
Línea 17: PUNTOCOMA -> ;
Línea 18: LLAVE_DER -> }
Línea 20: SI -> if
Línea 20: IDENTIFICADOR -> acc
Línea 20: MAYOR -> >
Línea 20: ENTERO -> 10
Línea 20: LLAVE_IZQ -> {
Línea 21: IDENTIFICADOR -> a
Línea 21: IGUAL -> =
Línea 21: IDENTIFICADOR -> a
Línea 21: SUMA -> +
Línea 21: IDENTIFICADOR -> acc
Línea 21: PUNTOCOMA -> ;
Línea 22: LLAVE_DER -> }
Línea 22: SINO -> else
Línea 22: LLAVE_IZQ -> {
Línea 23: IDENTIFICADOR -> a
Línea 23: IGUAL -> =
Línea 23: IDENTIFICADOR -> a
Línea 23: RESTA -> -
Línea 23: IDENTIFICADOR -> acc
Línea 23: PUNTOCOMA -> ;
Línea 24: LLAVE_DER -> }
Línea 27: VARIABLE -> let
Línea 27: MUTABLE -> mut
Línea 27: IDENTIFICADOR -> k
Línea 27: DOSPUNTOS -> :
Línea 27: I32 -> i32
Línea 27: IGUAL -> =
Línea 27: ENTERO -> 0
Línea 27: PUNTOCOMA -> ;
Línea 28: MIENTRAS -> while
Línea 28: IDENTIFICADOR -> k
Línea 28: MENOR -> <
Línea 28: ENTERO -> 3
Línea 28: LLAVE_IZQ -> {
Línea 29: IDENTIFICADOR -> b
Línea 29: IGUAL -> =
Línea 29: IDENTIFICADOR -> b
Línea 29: MULT -> *
Línea 29: ENTERO -> 2
Línea 29: PUNTOCOMA -> ;
Línea 30: IDENTIFICADOR -> k
Línea 30: IGUAL -> =
Línea 30: IDENTIFICADOR -> k
Línea 30: SUMA -> +
Línea 30: ENTERO -> 1
Línea 30: PUNTOCOMA -> ;
Línea 31: LLAVE_DER -> }
Línea 33: VARIABLE -> let
Línea 33: IDENTIFICADOR -> resultado
Línea 33: DOSPUNTOS -> :
Línea 33: I32 -> i32
Línea 33: IGUAL -> =
Línea 33: PAREN_IZQ -> (
Línea 33: IDENTIFICADOR -> a
Línea 33: SUMA -> +
Línea 33: IDENTIFICADOR -> b
Línea 33: PAREN_DER -> )
Línea 33: MULT -> *
Línea 33: IDENTIFICADOR -> acc
Línea 33: DIV -> /
Línea 33: ENTERO -> 2
Línea 33: PUNTOCOMA -> ;
Línea 34: IMPRIMIRLN -> println!
Línea 34: PAREN_IZQ -> (
Línea 34: CADENA -> "Resultado inicial: {}"
Línea 34: COMA -> ,
Línea 34: IDENTIFICADOR -> resultado
Línea 34: PAREN_DER -> )
Línea 34: PUNTOCOMA -> ;
Línea 40: VARIABLE -> let
Línea 40: IDENTIFICADOR -> acc
Línea 40: DOSPUNTOS -> :
Línea 40: I32 -> i32
Línea 40: IGUAL -> =
Línea 40: IDENTIFICADOR -> acc
Línea 40: SUMA -> +
Línea 40: ENTERO -> 10
Línea 40: PUNTOCOMA -> ;
Línea 41: VARIABLE -> let
Línea 41: IDENTIFICADOR -> activo
Línea 41: IGUAL -> =
Línea 41: VERDAD -> true
Línea 41: PUNTOCOMA -> ;
Línea 42: IDENTIFICADOR -> activo
Línea 42: IGUAL -> =
Línea 42: FALSO -> false
Línea 42: PUNTOCOMA -> ;
Línea 48: SI -> if
Línea 48: PAREN_IZQ -> (
Línea 48: IDENTIFICADOR -> a
Línea 48: MAYOR -> >
Línea 48: ENTERO -> 5
Línea 48: PAREN_DER -> )
Línea 48: LLAVE_IZQ -> {
Línea 48: LLAVE_IZQ -> {
Línea 48: LLAVE_DER -> }
Línea 48: LLAVE_DER -> }
Línea 49: SI -> if
Línea 49: IDENTIFICADOR -> a
Línea 49: MAYOR -> >
Línea 49: ENTERO -> 5
Línea 49: PAREN_DER -> )
Línea 49: LLAVE_IZQ -> {
Línea 50: IMPRIMIRLN -> println!
Línea 50: PAREN_IZQ -> (
Línea 50: CADENA -> "error sintaxis"
Línea 50: PAREN_DER -> )
Línea 50: PUNTOCOMA -> ;
Línea 51: LLAVE_DER -> }
Línea 53: POR -> for
Línea 53: IDENTIFICADOR -> j
Línea 53: EN -> in
Línea 53: ENTERO -> 1
Línea 53: RANGO -> ..
Línea 53: PAREN_IZQ -> (
Línea 53: ENTERO -> 5
Línea 53: LLAVE_IZQ -> {
Línea 54: IMPRIMIRLN -> println!
Línea 54: PAREN_IZQ -> (
Línea 54: CADENA -> "mal for"
Línea 54: PAREN_DER -> )
Línea 54: PUNTOCOMA -> ;
Línea 55: LLAVE_DER -> }
Línea 57: MIENTRAS -> while
Línea 57: PAREN_IZQ -> (
Línea 57: IDENTIFICADOR -> a
Línea 57: MENOR -> <
Línea 57: ENTERO -> 200
Línea 57: LLAVE_IZQ -> {
Línea 58: IDENTIFICADOR -> a
Línea 58: IGUAL -> =
Línea 58: IDENTIFICADOR -> a
Línea 58: SUMA -> +
Línea 58: ENTERO -> 1
Línea 58: PUNTOCOMA -> ;
Línea 59: LLAVE_DER -> }
Línea 61: SI -> if
Línea 61: IDENTIFICADOR -> a
Línea 61: MAYOR -> >
Línea 61: ENTERO -> 10
Línea 61: LLAVE_IZQ -> {
Línea 62: IMPRIMIRLN -> println!
Línea 62: PAREN_IZQ -> (
Línea 62: CADENA -> "ok"
Línea 62: PAREN_DER -> )
Línea 63: SINO -> else
Línea 63: LLAVE_IZQ -> {
Línea 64: IMPRIMIRLN -> println!
Línea 64: PAREN_IZQ -> (
Línea 64: CADENA -> "mal"
Línea 64: PAREN_DER -> )
Línea 65: LLAVE_DER -> }
Línea 67: VARIABLE -> let
Línea 67: IDENTIFICADOR -> p
Línea 67: DOSPUNTOS -> :
Línea 67: I32 -> i32
Línea 67: IGUAL -> =
Línea 67: ENTERO -> 9
Línea 68: VARIABLE -> let
Línea 68: IDENTIFICADOR -> x
Línea 68: DOSPUNTOS -> :
Línea 68: I32 -> i32
Línea 68: IGUAL -> =
Línea 68: PUNTOCOMA -> ;
Línea 70: FUNCION -> fn
Línea 70: IDENTIFICADOR -> funcion
Línea 70: PAREN_IZQ -> (
Línea 70: PAREN_DER -> )
Línea 70: LLAVE_IZQ -> {
Línea 71: VARIABLE -> let
Línea 71: IDENTIFICADOR -> interno
Línea 71: DOSPUNTOS -> :
Línea 71: I32 -> i32
Línea 71: IGUAL -> =
Línea 71: ENTERO -> 9
Línea 71: PUNTOCOMA -> ;
Línea 72: LLAVE_DER -> }
Línea 73: LLAVE_DER -> }
Línea 73: PUNTOCOMA -> ;
Línea 76: VARIABLE -> let
Línea 76: IDENTIFICADOR -> dinero
Error léxico: carácter no reconocido '$' en línea 76
Línea 76: IGUAL -> =
Línea 76: ENTERO -> 40
Línea 76: PUNTOCOMA -> ;
Línea 77: VARIABLE -> let
Línea 77: IDENTIFICADOR -> valor
Error léxico: carácter no reconocido '#' en línea 77
Línea 77: IGUAL -> =
Línea 77: ENTERO -> 10
Línea 77: PUNTOCOMA -> ;
Línea 78: VARIABLE -> let
Línea 78: IDENTIFICADOR -> cont
Error léxico: carácter no reconocido '@' en línea 78
Línea 78: IDENTIFICADOR -> dor
Línea 78: IGUAL -> =
Línea 78: ENTERO -> 33
Línea 78: PUNTOCOMA -> ;
Línea 79: VARIABLE -> let
Línea 79: IDENTIFICADOR -> mal
Error léxico: carácter no reconocido '°' en línea 79
Línea 79: IGUAL -> =
Línea 79: ENTERO -> 5
Línea 79: PUNTOCOMA -> ;
Línea 80: IMPRIMIRLN -> println!
Línea 80: PAREN_IZQ -> (
Línea 80: IDENTIFICADOR -> Hola
Línea 80: PAREN_DER -> )
Línea 80: PUNTOCOMA -> ;
Línea 82: VARIABLE -> let
Línea 82: IDENTIFICADOR -> acc
Línea 82: IGUAL -> =
Línea 82: ENTERO -> 2
Línea 82: PUNTOCOMA -> ;
Línea 83: VARIABLE -> let
Línea 83: IDENTIFICADOR -> acc
Línea 83: IGUAL -> =
Línea 83: ENTERO -> 3
Línea 83: PUNTOCOMA -> ;
Línea 85: VARIABLE -> let
Línea 85: IDENTIFICADOR -> activo
Línea 85: IGUAL -> =
Línea 85: VERDAD -> true
Línea 85: PUNTOCOMA -> ;
Línea 86: IDENTIFICADOR -> activo
Línea 86: IGUAL -> =
Línea 86: ENTERO -> 5
Línea 86: PUNTOCOMA -> ;
Línea 88: IDENTIFICADOR -> total
Línea 88: IGUAL -> =
Línea 88: IDENTIFICADOR -> acc
Línea 88: SUMA -> +
Línea 88: ENTERO -> 10
Línea 88: PUNTOCOMA -> ;
Línea 89: LLAVE_DER -> }


--- Errores Sintácticos (durante semántico) ---
  (ninguno)
--- Errores Léxicos (durante semántico) ---
  (ninguno)

Análisis semántico completado.

Error léxico: carácter no reconocido '$' en línea 76
Error léxico: carácter no reconocido '#' en línea 77
Error léxico: carácter no reconocido '@' en línea 78
Error léxico: carácter no reconocido '°' en línea 79
