Error léxico: carácter no reconocido '@' en línea 10
Error léxico: carácter no reconocido '$' en línea 11
Usuario: Sebhvarg | Archivo: prueba.rs
=== ANÁLISIS LÉXICO ===
Línea 3: FUNCION -> fn
Línea 3: IDENTIFICADOR -> calcular
Línea 3: PAREN_IZQ -> (
Línea 3: IDENTIFICADOR -> a
Línea 3: DOSPUNTOS -> :
Línea 3: I32 -> i32
Línea 3: COMA -> ,
Línea 3: IDENTIFICADOR -> b
Línea 3: DOSPUNTOS -> :
Línea 3: I32 -> i32
Línea 3: PAREN_DER -> )
Línea 3: FLECHA -> ->
Línea 3: I32 -> i32
Línea 3: LLAVE_IZQ -> {
Línea 4: VARIABLE -> let
Línea 4: IDENTIFICADOR -> resultado
Línea 4: IGUAL -> =
Línea 4: IDENTIFICADOR -> a
Línea 4: SUMA -> +
Línea 4: IDENTIFICADOR -> b
Línea 4: PUNTOCOMA -> ;
Línea 5: IDENTIFICADOR -> resultado
Línea 6: LLAVE_DER -> }
Línea 8: FUNCION -> fn
Línea 8: IDENTIFICADOR -> main
Línea 8: PAREN_IZQ -> (
Línea 8: PAREN_DER -> )
Línea 8: LLAVE_IZQ -> {
Línea 10: VARIABLE -> let
Línea 10: IDENTIFICADOR -> x
Error léxico: carácter no reconocido '@' en línea 10
Línea 10: IGUAL -> =
Línea 10: ENTERO -> 10
Línea 10: PUNTOCOMA -> ;
Línea 11: VARIABLE -> let
Línea 11: IDENTIFICADOR -> y
Error léxico: carácter no reconocido '$' en línea 11
Línea 11: IGUAL -> =
Línea 11: ENTERO -> 20
Línea 11: PUNTOCOMA -> ;
Línea 14: VARIABLE -> let
Línea 14: IDENTIFICADOR -> suma
Línea 14: IGUAL -> =
Línea 14: IDENTIFICADOR -> x
Línea 14: SUMA -> +
Línea 14: IDENTIFICADOR -> z
Línea 14: PUNTOCOMA -> ;
Línea 17: VARIABLE -> let
Línea 17: MUTABLE -> mut
Línea 17: IDENTIFICADOR -> contador
Línea 17: IGUAL -> =
Línea 17: ENTERO -> 0
Línea 20: VARIABLE -> let
Línea 20: IDENTIFICADOR -> valor
Línea 20: IGUAL -> =
Línea 20: ENTERO -> 100
Línea 20: PUNTOCOMA -> ;
Línea 21: IDENTIFICADOR -> valor
Línea 21: IGUAL -> =
Línea 21: ENTERO -> 200
Línea 21: PUNTOCOMA -> ;
Línea 24: VARIABLE -> let
Línea 24: IDENTIFICADOR -> texto
Línea 24: DOSPUNTOS -> :
Línea 24: CADENA_TIPO -> str
Línea 24: IGUAL -> =
Línea 24: CADENA -> "hola"
Línea 24: PUNTOCOMA -> ;
Línea 25: VARIABLE -> let
Línea 25: IDENTIFICADOR -> numero
Línea 25: IGUAL -> =
