Error léxico: carácter no reconocido '§' en línea 22
Error léxico: carácter no reconocido '€' en línea 25
Error léxico: carácter no reconocido '€' en línea 514
Usuario: Sebhvarg | Archivo: test3.rs
Línea 8: VARIABLE -> let
Línea 8: IDENTIFICADOR -> función
Línea 8: IGUAL -> =
Línea 8: ENTERO -> 5
Línea 8: PUNTOCOMA -> ;
Línea 11: VARIABLE -> let
Línea 11: IDENTIFICADOR -> año
Línea 11: IGUAL -> =
Línea 11: ENTERO -> 2024
Línea 11: PUNTOCOMA -> ;
Línea 14: VARIABLE -> let
Línea 14: IDENTIFICADOR -> precio
Línea 14: IGUAL -> =
Línea 14: FLOTANTE -> 19.99
Línea 14: PUNTO -> .
Línea 14: ENTERO -> 5
Línea 14: PUNTOCOMA -> ;
Línea 16: VARIABLE -> let
Línea 16: IDENTIFICADOR -> mensaje
Línea 16: IGUAL -> =
Línea 16: CADENA -> "Hola mundo"
Línea 16: PUNTOCOMA -> ;
Línea 19: VARIABLE -> let
Línea 19: IDENTIFICADOR -> escape_invalido
Línea 19: IGUAL -> =
Línea 19: CADENA -> "texto qerror"
Línea 19: PUNTOCOMA -> ;
Línea 22: VARIABLE -> let
Línea 22: IDENTIFICADOR -> operacion
Línea 22: IGUAL -> =
Línea 22: ENTERO -> 10
Error léxico: carácter no reconocido '§' en línea 22
Línea 22: ENTERO -> 5
Línea 22: PUNTOCOMA -> ;
Línea 25: VARIABLE -> let
Línea 25: IDENTIFICADOR -> costo
Línea 25: IGUAL -> =
Línea 25: ENTERO -> 100
Error léxico: carácter no reconocido '€' en línea 25
Línea 25: PUNTOCOMA -> ;
Línea 28: VARIABLE -> let
Línea 28: ENTERO -> 123
Línea 28: IDENTIFICADOR -> variable
Línea 28: IGUAL -> =
Línea 28: ENTERO -> 10
Línea 28: PUNTOCOMA -> ;
Línea 31: VARIABLE -> let
Línea 31: IDENTIFICADOR -> comparacion
Línea 31: IGUAL -> =
Línea 31: ENTERO -> 5
Línea 31: MENOR -> <
Línea 31: MAYOR -> >
Línea 31: ENTERO -> 3
Línea 31: PUNTOCOMA -> ;
Línea 34: VARIABLE -> let
Línea 34: ESTRUCTURA -> struct
Línea 34: IGUAL -> =
Línea 34: ENTERO -> 10
Línea 34: PUNTOCOMA -> ;
Línea 35: VARIABLE -> let
Línea 35: FUNCION -> fn
Línea 35: IGUAL -> =
Línea 35: ENTERO -> 20
Línea 35: PUNTOCOMA -> ;
Línea 36: VARIABLE -> let
Línea 36: MIENTRAS -> while
Línea 36: IGUAL -> =
Línea 36: ENTERO -> 30
Línea 36: PUNTOCOMA -> ;
Línea 39: VARIABLE -> let
Línea 39: IDENTIFICADOR -> valor
Línea 39: IGUAL -> =
Línea 39: ENTERO -> 100
Línea 39: IDENTIFICADOR -> _
Línea 39: PUNTOCOMA -> ;
Línea 42: FUNCION -> fn
Línea 42: IDENTIFICADOR -> vida
Línea 42: MENOR -> <
Línea 42: CARACTER -> 'a'
Línea 42: IDENTIFICADOR -> b
Línea 42: MAYOR -> >
Línea 42: PAREN_IZQ -> (
Línea 42: IDENTIFICADOR -> x
Línea 42: DOSPUNTOS -> :
Línea 42: BIT_Y -> &
Línea 42: CARACTER -> 'a'
Línea 42: IDENTIFICADOR -> b
Línea 42: CADENA_TIPO -> str
Línea 42: PAREN_DER -> )
Línea 42: LLAVE_IZQ -> {
Línea 43: IMPRIMIRLN -> println!
Línea 43: PAREN_IZQ -> (
Línea 43: CADENA -> "Error"
Línea 43: PAREN_DER -> )
Línea 43: PUNTOCOMA -> ;
Línea 44: LLAVE_DER -> }
Línea 49: ESTRUCTURA -> struct
Línea 49: IDENTIFICADOR -> Book
Línea 49: LLAVE_IZQ -> {
Línea 50: IDENTIFICADOR -> id
Línea 50: DOSPUNTOS -> :
Línea 50: U32 -> u32
Línea 50: COMA -> ,
Línea 51: IDENTIFICADOR -> title
Línea 51: DOSPUNTOS -> :
Línea 51: CADENA_TIPO -> str
Línea 51: COMA -> ,
Línea 52: IDENTIFICADOR -> author
Línea 52: DOSPUNTOS -> :
Línea 52: CADENA_TIPO -> str
Línea 53: LLAVE_DER -> }
Línea 56: IDENTIFICADOR -> nueva_funcion
Línea 56: PAREN_IZQ -> (
Línea 56: PAREN_DER -> )
Línea 56: LLAVE_IZQ -> {
Línea 57: IMPRIMIRLN -> println!
Línea 57: PAREN_IZQ -> (
Línea 57: CADENA -> "Error sintáctico"
Línea 57: PAREN_DER -> )
Línea 57: PUNTOCOMA -> ;
Línea 58: LLAVE_DER -> }
Línea 61: FUNCION -> fn
Línea 61: IDENTIFICADOR -> obtener_dato
Línea 61: PAREN_IZQ -> (
Línea 61: PAREN_DER -> )
Línea 61: LLAVE_IZQ -> {
Línea 62: RETORNO -> return
Línea 62: CADENA -> "texto"
Línea 62: PUNTOCOMA -> ;
Línea 63: LLAVE_DER -> }
Línea 66: FUNCION -> fn
Línea 66: IDENTIFICADOR -> sumar
Línea 66: PAREN_IZQ -> (
Línea 66: IDENTIFICADOR -> a
Línea 66: DOSPUNTOS -> :
Línea 66: I32 -> i32
Línea 66: IDENTIFICADOR -> b
Línea 66: DOSPUNTOS -> :
Línea 66: I32 -> i32
Línea 66: PAREN_DER -> )
Línea 66: FLECHA -> ->
Línea 66: I32 -> i32
Línea 66: LLAVE_IZQ -> {
Línea 67: IDENTIFICADOR -> a
Línea 67: SUMA -> +
Línea 67: IDENTIFICADOR -> b
Línea 68: LLAVE_DER -> }
Línea 71: FUNCION -> fn
Línea 71: IDENTIFICADOR -> contar
Línea 71: PAREN_IZQ -> (
Línea 71: PAREN_DER -> )
Línea 71: I32 -> i32
Línea 71: LLAVE_IZQ -> {
Línea 72: ENTERO -> 42
Línea 73: LLAVE_DER -> }
Línea 76: FUNCION -> fn
Línea 76: IDENTIFICADOR -> revisar
Línea 76: PAREN_IZQ -> (
Línea 76: PAREN_DER -> )
Línea 76: LLAVE_IZQ -> {
Línea 77: SI -> if
Línea 77: LLAVE_IZQ -> {
Línea 78: IMPRIMIRLN -> println!
Línea 78: PAREN_IZQ -> (
Línea 78: CADENA -> "Sin condición"
Línea 78: PAREN_DER -> )
Línea 78: PUNTOCOMA -> ;
Línea 79: LLAVE_DER -> }
Línea 80: LLAVE_DER -> }
Línea 83: FUNCION -> fn
Línea 83: IDENTIFICADOR -> ciclo_mal
Línea 83: PAREN_IZQ -> (
Línea 83: PAREN_DER -> )
Línea 83: LLAVE_IZQ -> {
Línea 84: POR -> for
Línea 84: IDENTIFICADOR -> i
Línea 84: EN -> in
Línea 84: ENTERO -> 1
Línea 84: RANGO -> ..
Línea 84: ENTERO -> 10
Línea 85: IMPRIMIRLN -> println!
Línea 85: PAREN_IZQ -> (
Línea 85: CADENA -> "{}"
Línea 85: COMA -> ,
Línea 85: IDENTIFICADOR -> i
Línea 85: PAREN_DER -> )
Línea 85: PUNTOCOMA -> ;
Línea 86: LLAVE_DER -> }
Línea 87: LLAVE_DER -> }
Línea 90: FUNCION -> fn
Línea 90: IDENTIFICADOR -> mientras_error
Línea 90: PAREN_IZQ -> (
Línea 90: PAREN_DER -> )
Línea 90: LLAVE_IZQ -> {
Línea 91: MIENTRAS -> while
Línea 91: PAREN_IZQ -> (
Línea 91: VERDAD -> true
Línea 91: PAREN_DER -> )
Línea 92: QUIEBRE -> break
Línea 92: PUNTOCOMA -> ;
Línea 93: LLAVE_DER -> }
Línea 96: FUNCION -> fn
Línea 96: IDENTIFICADOR -> patron_vacio
Línea 96: PAREN_IZQ -> (
Línea 96: IDENTIFICADOR -> x
Línea 96: DOSPUNTOS -> :
Línea 96: I32 -> i32
Línea 96: PAREN_DER -> )
Línea 96: FLECHA -> ->
Línea 96: CADENA_TIPO -> str
Línea 96: LLAVE_IZQ -> {
Línea 97: COINCIDIR -> match
Línea 97: IDENTIFICADOR -> x
Línea 97: LLAVE_IZQ -> {
Línea 98: LLAVE_DER -> }
Línea 99: LLAVE_DER -> }
Línea 102: FUNCION -> fn
Línea 102: IDENTIFICADOR -> patron_incorrecto
Línea 102: PAREN_IZQ -> (
Línea 102: IDENTIFICADOR -> num
Línea 102: DOSPUNTOS -> :
Línea 102: I32 -> i32
Línea 102: PAREN_DER -> )
Línea 102: FLECHA -> ->
Línea 102: CADENA_TIPO -> str
Línea 102: LLAVE_IZQ -> {
Línea 103: COINCIDIR -> match
Línea 103: IDENTIFICADOR -> num
Línea 103: LLAVE_IZQ -> {
Línea 104: ENTERO -> 1
Línea 104: COMA -> ,
Línea 104: CADENA -> "uno"
Línea 104: COMA -> ,
Línea 105: ENTERO -> 2
Línea 105: COMA -> ,
Línea 105: CADENA -> "dos"
Línea 105: COMA -> ,
Línea 106: IDENTIFICADOR -> _
Línea 106: COMA -> ,
Línea 106: CADENA -> "otro"
Línea 106: COMA -> ,
Línea 107: LLAVE_DER -> }
Línea 108: LLAVE_DER -> }
Línea 111: FUNCION -> fn
Línea 111: IDENTIFICADOR -> vector_mal
Línea 111: PAREN_IZQ -> (
Línea 111: PAREN_DER -> )
Línea 111: LLAVE_IZQ -> {
Línea 112: VARIABLE -> let
Línea 112: IDENTIFICADOR -> nums
Línea 112: IGUAL -> =
Línea 112: IDENTIFICADOR -> vec
Línea 112: NO -> !
Línea 112: CORCHETE_IZQ -> [
Línea 112: ENTERO -> 1
Línea 112: ENTERO -> 2
Línea 112: ENTERO -> 3
Línea 112: ENTERO -> 4
Línea 112: ENTERO -> 5
Línea 112: CORCHETE_DER -> ]
Línea 112: PUNTOCOMA -> ;
Línea 113: LLAVE_DER -> }
Línea 116: FUNCION -> fn
Línea 116: IDENTIFICADOR -> llamada_error
Línea 116: PAREN_IZQ -> (
Línea 116: PAREN_DER -> )
Línea 116: LLAVE_IZQ -> {
Línea 117: IDENTIFICADOR -> alguna_funcion
Línea 117: PAREN_IZQ -> (
Línea 117: ENTERO -> 1
Línea 117: ENTERO -> 2
Línea 117: ENTERO -> 3
Línea 117: PAREN_DER -> )
Línea 117: PUNTOCOMA -> ;
Línea 118: LLAVE_DER -> }
Línea 121: FUNCION -> fn
Línea 121: IDENTIFICADOR -> asignacion_invalida
Línea 121: PAREN_IZQ -> (
Línea 121: PAREN_DER -> )
Línea 121: LLAVE_IZQ -> {
Línea 122: IDENTIFICADOR -> variable
Línea 122: IGUAL -> =
Línea 122: ENTERO -> 100
Línea 122: PUNTOCOMA -> ;
Línea 123: LLAVE_DER -> }
Línea 126: FUNCION -> fn
Línea 126: IDENTIFICADOR -> falta_puntoycoma
Línea 126: PAREN_IZQ -> (
Línea 126: PAREN_DER -> )
Línea 126: LLAVE_IZQ -> {
Línea 127: VARIABLE -> let
Línea 127: IDENTIFICADOR -> x
Línea 127: IGUAL -> =
Línea 127: ENTERO -> 10
Línea 128: VARIABLE -> let
Línea 128: IDENTIFICADOR -> y
Línea 128: IGUAL -> =
Línea 128: ENTERO -> 20
Línea 128: PUNTOCOMA -> ;
Línea 129: LLAVE_DER -> }
Línea 132: FUNCION -> fn
Línea 132: IDENTIFICADOR -> parentesis_abierto
Línea 132: PAREN_IZQ -> (
Línea 132: PAREN_DER -> )
Línea 132: LLAVE_IZQ -> {
Línea 133: VARIABLE -> let
Línea 133: IDENTIFICADOR -> resultado
Línea 133: IGUAL -> =
Línea 133: PAREN_IZQ -> (
Línea 133: ENTERO -> 10
Línea 133: SUMA -> +
Línea 133: ENTERO -> 20
Línea 133: PUNTOCOMA -> ;
Línea 134: LLAVE_DER -> }
Línea 137: FUNCION -> fn
Línea 137: IDENTIFICADOR -> llave_abierta
Línea 137: PAREN_IZQ -> (
Línea 137: PAREN_DER -> )
Línea 137: LLAVE_IZQ -> {
Línea 138: SI -> if
Línea 138: PAREN_IZQ -> (
Línea 138: VERDAD -> true
Línea 138: PAREN_DER -> )
Línea 138: LLAVE_IZQ -> {
Línea 139: IMPRIMIRLN -> println!
Línea 139: PAREN_IZQ -> (
Línea 139: CADENA -> "Test"
Línea 139: PAREN_DER -> )
Línea 139: PUNTOCOMA -> ;
Línea 141: LLAVE_DER -> }
Línea 144: FUNCION -> fn
Línea 144: IDENTIFICADOR -> bucle_vacio
Línea 144: PAREN_IZQ -> (
Línea 144: PAREN_DER -> )
Línea 144: LLAVE_IZQ -> {
Línea 145: LAZO -> loop
Línea 146: LLAVE_DER -> }
Línea 149: ENUMERADO -> enum
Línea 149: IDENTIFICADOR -> EstadoVacio
Línea 149: LLAVE_IZQ -> {
Línea 150: LLAVE_DER -> }
Línea 153: RASGO -> trait
Línea 153: IDENTIFICADOR -> MiRasgo
Línea 154: FUNCION -> fn
Línea 154: IDENTIFICADOR -> metodo
Línea 154: PAREN_IZQ -> (
Línea 154: BIT_Y -> &
Línea 154: MISMO -> self
Línea 154: PAREN_DER -> )
Línea 154: PUNTOCOMA -> ;
Línea 155: LLAVE_DER -> }
Línea 158: IMPLEMENTACION -> impl
Línea 158: IDENTIFICADOR -> MiRasgo
Línea 158: POR -> for
Línea 158: IDENTIFICADOR -> Book
Línea 159: FUNCION -> fn
Línea 159: IDENTIFICADOR -> metodo
Línea 159: PAREN_IZQ -> (
Línea 159: BIT_Y -> &
Línea 159: MISMO -> self
Línea 159: PAREN_DER -> )
Línea 159: LLAVE_IZQ -> {
Línea 160: IMPRIMIRLN -> println!
Línea 160: PAREN_IZQ -> (
Línea 160: CADENA -> "Impl incorrecto"
Línea 160: PAREN_DER -> )
Línea 160: PUNTOCOMA -> ;
Línea 161: LLAVE_DER -> }
Línea 162: LLAVE_DER -> }
Línea 165: FUNCION -> fn
Línea 165: IDENTIFICADOR -> incremento_invalido
Línea 165: PAREN_IZQ -> (
Línea 165: PAREN_DER -> )
Línea 165: LLAVE_IZQ -> {
Línea 166: VARIABLE -> let
Línea 166: IDENTIFICADOR -> x
Línea 166: IGUAL -> =
Línea 166: ENTERO -> 5
Línea 166: SUMA -> +
Línea 166: SUMA -> +
Línea 166: ENTERO -> 3
Línea 166: PUNTOCOMA -> ;
Línea 167: LLAVE_DER -> }
Línea 170: FUNCION -> fn
Línea 170: IDENTIFICADOR -> inicializar_mal
Línea 170: PAREN_IZQ -> (
Línea 170: PAREN_DER -> )
Línea 170: LLAVE_IZQ -> {
Línea 171: VARIABLE -> let
Línea 171: IDENTIFICADOR -> libro
Línea 171: IGUAL -> =
Línea 171: IDENTIFICADOR -> Book
Línea 171: LLAVE_IZQ -> {
Línea 172: IDENTIFICADOR -> id
Línea 172: IGUAL -> =
Línea 172: ENTERO -> 1
Línea 172: COMA -> ,
Línea 173: IDENTIFICADOR -> title
Línea 173: IGUAL -> =
Línea 173: CADENA -> "Título"
Línea 173: COMA -> ,
Línea 174: LLAVE_DER -> }
Línea 174: PUNTOCOMA -> ;
Línea 175: LLAVE_DER -> }
Línea 180: FUNCION -> fn
Línea 180: IDENTIFICADOR -> redeclaracion
Línea 180: PAREN_IZQ -> (
Línea 180: PAREN_DER -> )
Línea 180: LLAVE_IZQ -> {
Línea 181: VARIABLE -> let
Línea 181: IDENTIFICADOR -> contador
Línea 181: IGUAL -> =
Línea 181: ENTERO -> 0
Línea 181: PUNTOCOMA -> ;
Línea 182: VARIABLE -> let
Línea 182: IDENTIFICADOR -> contador
Línea 182: IGUAL -> =
Línea 182: ENTERO -> 10
Línea 182: PUNTOCOMA -> ;
Línea 183: LLAVE_DER -> }
Línea 186: FUNCION -> fn
Línea 186: IDENTIFICADOR -> constante_duplicada
Línea 186: PAREN_IZQ -> (
Línea 186: PAREN_DER -> )
Línea 186: LLAVE_IZQ -> {
Línea 187: CONSTANTE -> const
Línea 187: IDENTIFICADOR -> MAX
Línea 187: IGUAL -> =
Línea 187: ENTERO -> 100
Línea 187: PUNTOCOMA -> ;
Línea 188: CONSTANTE -> const
Línea 188: IDENTIFICADOR -> MAX
Línea 188: IGUAL -> =
Línea 188: ENTERO -> 200
Línea 188: PUNTOCOMA -> ;
Línea 189: LLAVE_DER -> }
